,job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
6527,6528,Client Audit Coordinator ,"US, TX, Austin",COMPLIANCE UNIT 701,26000-30000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!",Description SUMMARY: The Client Audit Coordinator assists the Compliance Manager in carrying out necessary tasks needed to ensure regulatory and client compliance issues are managed and addressed.   DUTIES AND RESPONSIBILITIES:Maintain Compliance E-mail Box and ensure all matters are handled accurately and timelyOrganize communications from Clients and route to appropriate party for handlingEscalate matters when necessaryAssist in setting up and maintain SharePoint site to handle compliance/audit issuesAssist in gathering requested information for Client auditsDocument and update Client audit procedures for training and referenceTrack progress and completion of Client audit requestsPerform other duties as assigned,"High school diploma or equivalent; Bachelor's degree preferredSharePoint experience is a plusStrong organizational skillsAbility to deal effectively with a diversity of individuals at all organizational levelsAbility to work in a fast-paced environment with demonstrated ability to juggle multiple, competing tasks and demandsProficient with Microsoft Office Suite and Outlook",We offer a competitive and comprehensive range of benefits that is attainable for full-time employees.,0,1,1,Full-time,Associate,High School or equivalent,Financial Services,Customer Service,1
6528,6529,CALL CENTER REP,"US, TX, AUSTIN",CALLCENTER ,30000-40000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!","Our Call Center Rep would be expected to be experts at communication, listening, information provider, ambassador, product consultant, sales person, and problem solver.  The expected behaviors associated with this role include, but are not limited to:Master of active listening skills and listens to understand to assure mutual understanding.Builds personal and professional rapport.Demonstrates clear and articulate verbal and written communications.Effectively communicates information, minimizing confusion and misunderstandings.Interprets, translates, explains, and provides applicable, accurate and appropriate information with respect to products and services provided.Represents CSIdentity or our client partners in a positive, professional, ethical manner working to exceed customer’s expectations.Takes ownership and accountability to help and facilitate successful outcomes per customer’s requests.Demonstrates a strong ability to analyze and solve problems while focusing on accuracy and quality in everything they do."," Requirements:The qualifications for this position ensure your personal and professional success: Demonstrates ability to establish and maintain effective relationships with internal and external customers.Technical, legal, and investigative aptitude.Excellent oral and written communication skills, with demonstrated ability to articulate relevant and legal binding information and directions in an organized and concise manner.Strong interpersonal skills, with ability to work effectively with individuals and teams.Proven ability to maintain composure in stressful and emotional situations while managing to diffuse angry or irate customers.Organizational skills, including the ability to multi-task, plan and prioritize workflow in a paperless environment.Demonstrated computer skills in a Microsoft Office / Case Management Software / Customer Relationship Management system environment.Ability, willingness, and desire to work at least two of the following: evenings, overnights, weekends, overtime, and holidays.Must be able to pass a rigorous background screening.Two or three year minimum proven experience in a call center/contact center environment strongly preferred.Preferred criminal justice, fraud investigator, professional case management processor background.MUST INPUT ALL CORRECT INFORMATION AT THE TIME OF APPLICATION TO BE CONSIDER FOR A POSITION******","100% coverage of dental, vision and life insurance80% coverage of medical insurance401K with generous company matchFlexible spending account optionsFree identity protectionOpen vacation policy for exempt employees, with company-paid holidaysAn experienced, energetic leadership teamChallenging, fulfilling jobs in a growing marketplaceFun, fast-paced, team-oriented environmentOpportunities for career advancement at a growing, innovative company",0,1,1,Full-time,Associate,High School or equivalent,Financial Services,Customer Service,1
6546,6547,CUSTOMER OPERATION MANAGER,"US, TX, AUSTIN",CALLCENTER,45000-70000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!"," Customer Care Operations Manager is responsible for day to day operations in a 24 hour operation that handles world wide telephone and e-mail communication to both hotels and customers for reservations. These include requests for support on individual reservations and/or cancellations, requests for additional information, or complaints.  Identify, assess, confront and resolve performance issues with staff;  Drive coaching/monitoring process in conjunction with the training department;  Identify needs for new and recurrent training. ","High school diploma  Shift flexibility - able to work occasional evening and weekend shift;  Commitment to professional and personal growth.WE WILL PROVIDE EXTENSIVE TRAINING TO LEARN THE POSITION, APPLICANT MUST PASS BACKGROUND , AND DRUG TEST , EXTENSIVE BACKGROUND CHECK.","ACCION offers a competitive, comprehensive benefits and compensation package.  ACCION Insurance is a growing and changing company that is looking for top talent to continue building a high-performing organization. If you're looking for a career at an extraordinary company, ACCION is the place for you!",0,1,1,Full-time,Associate,High School or equivalent,Management Consulting,Customer Service,1
6550,6551,Customer Service Representative,"US, TX, Austin",CALL CENTER,26000-32000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","Are you looking for a career in customer service where you can make a difference every day? If so, let us help you kick start your career!  As a Customer Service Representative, you will be part of the NOVATION inbound call center team dedicated to resolving customer issues in a  prompt, professional and friendly manner while focusing on positive customer experiences. Being part of the NOVATION team means opportunities for bonuses on top of an hourly wage, medical benefits, 401(k) retirement savings, tuition reimbursement and room for advancement.NOVATION now offers full-time and part-time training and work schedules.In this entry level role, you will be fully trained to perform the following duties:Build and maintain rapport with customersIdentify customer product and/or service needs Review and update activity on accounts Provide basic technical supportPromote and sell products and servicesAttend training to update product knowledge","Dedicated people who enjoy helping othersHigh school diploma, GED or higher6 months to 1 year of customer service experience in a service related industry preferred (contact call center, retail, food service, telecommunications, etc.) Computer proficiency, including web navigationStrong communication skillsAdaptable to changing situationsYou must be at least 18 years old to apply and pass drug screen, criminal background check, and comprehensive assessments during and after training. NOVATION is an equal opportunity employer.","top hourly wage, medical benefits, 401(k) retirement savings, tuition reimbursement and room for advancement.",0,1,1,Full-time,Entry level,High School or equivalent,Logistics and Supply Chain,Customer Service,1
6564,6565, Accounting Clerk ,"US, TX, AUSTIN",ACCT,28000-32000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","Job DescriptionVerify, obtain approvals and pay invoices; bill and collect outstanding revenue in a timely, accurate manner in accordance with accounting policies and procedures.Potential Career PathStaff Accountant – Regional Accountant – ControllerEssential Job FunctionsPrepare cash discrepancy reports.Retrieve and process deposits in accordance with hotel standards.Maintain house bank and conduct transactions according to established processes and policies.Issue and redeem cashier banks and conduct audits as needed.Process petty cash receipts and reimbursements.Assist with credit-related activities, including processing of credit applications.Provide customers with accurate and timely invoices, statements, and schedules.Maintain an efficient collection process to include an organized filing and tracing system.Monitor guest ledger, advance deposit ledger and any other related ledgers to ensure proper internal control.Be aware of guest satisfaction scores and work toward increasing departmental and overall guest satisfaction.Follow sustainability guidelines and practices related to HHM’s EarthView program.Practice safe work habits to ensure safety.Perform other duties as requested by management.",High School diploma requiredProficient in using Excel.,"401K, HEALTHCARE PALNS AND MORE",0,1,1,Full-time,Associate,High School or equivalent,Accounting,Customer Service,1
6565,6566,FILE DRIVER,"US, TX, FORT WORTH",DRIVER,23000-28000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs."," Location: FORT WORTH,TXJob Summary:The employee's Number One Job responsibility is to deliver the most remarkable Customer experience, in every dimension, every time, and understand how he or she contributes to the Novation system’s vision of achieving that commitment to clients and guest. The Van Driver is responsible for transporting clients safely to and from various locations, delivering inportant files to other local sites. This employee assures maintenance of facility vehicles in a safe and clean operating condition.Company Vehicle will be uses , gas card this position will require extensive background check and drug test.","Qualifications:Education: High School Diploma required.Licensure/certification/registration: Current driver's license in appropriate state and safe driving record required.Additional skills required: Must be able to read, write and communicate effectively in English.","Compensation:• Salary 23,000-28,000 annually • TMRS Retirement Plan • Vacation, Sick and Holiday leave Benefits • Medical, Dental and Vision Benefits",0,1,1,Full-time,Associate,High School or equivalent,Transportation/Trucking/Railroad,Customer Service,1
6566,6567,Call Center Representative I,"US, TX, AUSTIN",CALL CENTER,28000-32000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","The Call Center Representative I will provide a socially responsible service to Novation participant base.  Representatives will answer incoming inquiries from our client's employees regarding one of the following: defined contribution retirement plans, defined benefit retirement plans, health and welfare benefit plans, or other human resource related services.  They will continually develop the ability to communicate with impact, apply critical thinking and show a strong desire to drive for results while working independently in a fast-paced, team-oriented environment.  They will also perform outbound calls to provide timely follow-up on outstanding issues, work on various administrative projects and continuously strive to improve by utilizing various resources.  To fulfill this role, the Call Center Representative I will: Answer incoming calls from plan participants and provide accurate answers regarding defined contribution retirement plans, defined benefit retirement plans, health and welfare benefit plans or other human resource related services.  These inquiries are handled by communicating in a clear, concise and confident manner in order to provide an excellent customer services experience in a fast-paced work environment. Ensure that all transactions are submitted in a timely and accurate manner.Resolve all participant inquiries that require research or additional information by utilizing the appropriate resources and provide timely follow up as necessary. Act as a successful team member by being receptive to feedback/coaching, follow all standard operating procedures, display reliability and have a willingness to develop and consistently improve.","1-2 years customer serviceExcellent communication skills (both verbal and written), ability to research, follow up and resolve sensitive issues, proficient in working with web based applications and Microsoft OfficeHigh school Diploma","competitive salaries and comprehensive benefits and programs including: health and welfare, pension and 401K, employee assistance program, domestic partnership benefits, career mobility, employee network groups, volunteer opportunities, and other programs",0,1,1,Full-time,Associate,High School or equivalent,Consumer Services,Customer Service,1
6568,6569,Call Center Representative I,"US, WA, Seattle",CSR,32000-40000,"As the industry’s largest supply contracting company, Novation serves the purchasing needs of more than 65,000 VHA, UHC and Provista member organizations and their affilliates. Novation delivers unmatched supply savings and value through its sourcing services, as well as information and data services. Through its affiliation with VHA, UHC and Provista, Novation represents the largest purchasing volume in the industry more than $40 billion in annual purchases.To help our alliance members meet the needs of their communities, our mission is to deliver to them unmatched savings and value. One of the ways we deliver on our mission is by facilitating the introduction of products and services that are designed to help members drive sustainable results, improve quality and reduce costs.","Responsible for collection of delinquent accountsPerform inquiries and data entry, generate and print reports in a variety of computer programsRecord summary of discussion with commercial customer on outstanding issuesTimely follow up on discussions as requiredIdentify, audit and correct data that falls outside of billing specifications on customer accountsGenerate credit memos with applicable backup to clear up items on a customer accountCommunicate with other departments, G6 Hospitality properties, and customers to verify details, correct errors and prevent recurrence of similar issuesProvide documentation to customers, properties and operations to justify modifications required to correct errors and prevent recurrencesActively participate in interdepartmental meetings to identify procedural problems and determine solutionsOther duties and projects as assigned","Maintain attention and concentration for extended periods of timeRead and interpret documents and instructions from customers, vendors, and other Team MembersCommunicate effectively with customers, vendors, and other Team MembersMulti-task and prioritize workloadWork within the appropriate level of independenceFunction in a fast-paced environmentIf applicable, ability to travel for meetings with customers, vendors, other Team Members, and/or other business necessities",FULL- TIME BENEFITS,0,1,1,Full-time,Associate,High School or equivalent,Consumer Services,Customer Service,1
6639,6640,Marketing Associate,"GB, GBN, London",Marketing and Communications,25000-35000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","The role will span MarketInvoice’s online and offline marketing efforts, requiring the successful candidate to take on a significant amount of responsibility in terms of driving brand awareness, new business and ultimately bottom-line profit.For the right candidate, this is a role with great scope for creativity, growth and rapid promotion.Responsibilities:Brand: Work with senior management to identify and refine the company’s tone of voice, its brand values and corporate messaging and positioning.  The candidate will take ownership of all content on the company website and all of its offline and online marketing collaterals, working with designers on an ongoing basis to ensure MarketInvoice conveys a compelling and consistent message across all channels.Blogging &amp; Copywriting: Source and build relationships with relevant, value-adding blogs and news sites to which MarketInvoice can contribute regular blog postings. Write engaging, relevant content and work on an ongoing basis with blog editors and journalists.CRM: Plan and execute strategic and compelling customer communication campaigns throughout the year. Draft client case studies, newsletters and general announcements. The candidate will be in charge of scheduling these communications and overseeing their creation and successful delivery.Events: Map a calendar of events that MarketInvoice should be represented at. Work and negotiate with organisers to ensure the best possible representation of MarketInvoice at the best, most relevant industry events. For sponsorship opportunities that arise, the candidate will be tasked with presenting cost analysis of the opportunities to the Directors.Online Marketing Campaigns: Work with internal teams and 3rd parties to build and execute strategic marketing campaigns aimed at generating website traffic and leads. The candidate will need to identify partners and opportunities, negotiate costs, build collaterals and analyse results.Social Media: Deliver a social media strategy for MarketInvoice. Take ownership of the company’s Social Media channels driving further engagement across the different platforms. The candidate will take charge of creating and scheduling content and will be expected to deliver new campaigns to help drive greater brand awareness and new business.","Degree: 2.1 degree or higher. Ideally in a relevant field such as marketing or advertising though not a requirement.Writing Skills: The ability to write compelling, original and creative content.Organisation: The ability to efficiently and effectively manage a large and diverse workload.Attention to Detail: A meticulous work ethic and a strong desire to ensure all output is of excellent, consistent quality.People Skills: The ability to sell a story, negotiate effectively and build lasting relationships with a diverse group of individuals.Analytical Prowess: The desire to ensure all actions, no matter how big or small, are genuinely value-adding, and an ability to effectively analyse results and returns on investment.Passion &amp; Determination: A desire to make a tangible difference to customers, a readiness to take on high levels of responsibility and a commitment to delivering exceptional results.2-3 years’ experience working in a marketing environment.A good grasp of Powerpoint, Excel and Google Analytics.Experience of working with HTML and editing software such as WordPress and Mailchimp.","Salary of £25-35,000 per annum depending on experience.",0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Marketing,0
6640,6641,Account Manager,"GB, GBN, London",Sales,20000-25000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","As an account manager you will be responsible for making sure existing customers are having the best experience possible using the MarketInvoice. You will be talking directly to the CEOs and Finance Directors in small/medium business across the UK, with the opportunity to develop your business acumen by learning about various business models and their funding requirements. In this role you will become the trusted partner of clients using our platform to source their working capital.You will be:Guiding clients through the application process, giving them a demo of the invoice funding system, and dealing with application queriesEnsuring that clients are using MarketInvoice regularly and have all the information they require to use our service seamlesslyLiaising with our operations team to ensure that clients receive payments on time, and answer any payment related queriesDealing with general client queries, responding in an eloquent and efficient manner, helping clients navigate their online seller portalEnsuring our clients are kept up to speed with latest MarketInvoice product developments and innovations, as well as any key service changes","1-2 years account management experience but we will accept applications from recent graduates who are keen to prove themselves in this roleCandidates will have strong interpersonal skills and be comfortable talking on the phoneApplicants should be diligent, structured and meticulous, capable of managing a broad portfolio of clients efficientlyNo deep knowledge of finance is necessary, but a passion for business is desirable","Full-time basic salary of £20-25,000Annual bonus for over-performanceCareer progression- outperformers can progress to join the business development team, doing an outbound direct sales function, and qualify for the MarketInvoice commission scheme",0,1,1,Full-time,Entry level,Bachelor's Degree,Financial Services,Sales,0
6642,6643,Head of Commercial Partnerships,"GB, GBN, London",Sales,40000-50000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","We are looking for an experienced individual, well connected in the commercial finance industry, to join MarketInvoice to grow our broker and referral distribution channels. You will take the lead in establishing the right relationships, ensuring that suitable opportunities are passed to MarketInvoice, and creating a sales team dedicated to handle referrals. This is a role for someone who enjoys introducing a hugely innovative and disruptive funding solution into the advisor market, which is seeing explosive growth. You will be involved in setting the strategy and handling the execution.Responsibilities:Commercial partner acquisition strategy: Devise and execute a near-medium term strategy for growing MarketInvoice’s referral channel. This involves setting the right commission structure as well as advising on the sign-up and referral process currently in place for partners that wish to work with MarketInvoice.Build the MarketInvoice referral network: Build a network of engaged finance brokers across the UK, ensuring that the business is receiving a significant flow of inbound leads. Utilise your prior industry experience and contacts to ensure we are prioritising the right kind of partners for our business.Relationship management: Ensure that key referral partners are kept up to date with MarketInvoice product developments, allowing their clients to benefit from our platform in the best way possible.Outward lead flow: MarketInvoice currently receives many enquiries that it cannot support. Part of your role will be to build an effective process for the outward distribution of these leads to select intermediaries and strategic partners.Partner marketing: Work with the company’s marketing team in order to drive greater awareness of MarketInvoice amongst the broker community.","Sales: You will have a proven track record in selling financial products and driving new business within the financial services sector.Industry expertise: You will have at least five years industry experience and an excellent grasp of different financial products and services.Contacts: Ideally, you will be well integrated within the UK broker community and have an extensive network of contacts.Communication: You will be able to effectively articulate a new funding product to a traditional audience and have excellent presentation skills.Desire: This job is for an ambitious self-starter, focussed on and committed to playing a significant long-term role in a fast growing and exciting business.","Based in LondonFull time basic salary of £40-50,000High incentivised sales structure, OTE of £60-75,000+ (uncapped)Strong performers in the role could become part of the MarketInvoice management team, and eventually even take ownership of part of the business.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
6643,6644,Head of Sales,"GB, GBN, London",Sales,50000-75000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","MarketInvoice is looking for an experienced leader for its sales team. You will oversee and manage a group of talented business development professionals deliver a hugely innovative and disruptive funding solution to the SME market, which is seeing explosive growth. You will be leveraging cutting edge in-house technology and analysis to make our sales process more effective across various channels, driving up top line revenue growth. This is a role for someone who wants to grow a sales team significantly, taking a lead on recruitment and man-to-man management.You will be:Formulating a direct sales strategy, as well as implementing a framework to work with intermediaries and referral networksResponsible for setting sales targets across all sales channels and ensuring delivery against these objectivesRecruiting, managing, and incentivising a sales team that will grow significantly over the next 6 – 18 monthsOverseeing relevant training and sales team infrastructure implementation. Assessing the analytical tools and resources available to the sales team and managementCollaborating with the marketing teams to focus on relevant industry verticals and deliver effective SME sales campaigns, monitoring their effectiveness and presenting monthly sales summaries to managementPresenting updates on our sales efforts and targets at quarterly board meetings","Significant experience in sales management (at least 10 years), clear track record of effective leadership of a sales team either in financial services, technology or a related industryExperience in growing a sales team, managing and incentivising sales personnel, strong background in recruiting best talent available","Base salary of £50-75,000Incentivised pay structure – OTE of £95,000+ (uncapped)Participation in company option scheme based on outperformance",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Financial Services,Sales,0
6647,6648,Investor Sales Associate,"GB, GBN, London",Financial,30000-35000,"MarketInvoice is one of the most high-profile London based fin-tech companies. The Company is Europe’s leading P2P invoice finance platform that allows SMEs to quickly and flexibly sell their invoices, releasing critical working capital in the process.Our mission at MarketInvoice is to modernise the way in which SMEs finance their working capital and fund their growth. We are seeking to bring much-needed innovation to the banking industry in much the same way that online retailers disrupted the high street.You will be joining a diverse, multi-talented, fast-growing team that is passionate about using technology to help businesses access funding and change the world of business finance.","As an Investor Sales Associate, you will be responsible for the buy-side of the MarketInvoice platform. You will maintain the existing investor accounts as well as process new applications from high-net-worth individuals, family offices, hedge funds and other institutional investors. A successful applicant will have a keen interest in financial markets, knowledge of a variety of asset classes, strong communication skills and ideally 1-3 years’ experience in sales, investment management or investment banking.Responibilities:Investor onboarding &amp; diligence: understand the key features of the MarketInvoice product offering, communicate the selling points as well as the risks involved in investing via the MarketInvoice platform, process investor applications in an efficient and organised mannerInvestor maintenance: understand the priorities of registered investors, monitor the marketplace in order to forecast demand and address transaction-specific investor concerns. Produce a quarterly investor bulletin as well as short research notes for particular transactionsBuyer marketing: develop a strategy for marketing the MarketInvoice product to potential buyers, attend (and organize) conferences / events for potential buyers, network actively, etc.","A keen interest in financial markets and investment management. Good knowledge of the key characteristics of various asset classes, including alternative finance products1-3 years of experience in institutional sales, investment management or investment banking is a bonusStrong communication and interpersonal skillsGood knowledge of MS Office (particularly PPT, Excel and Word)Ability to work and deliver results under limited supervision","Full time basic salary £30,000-35,000Cash and equity incentive structure",0,1,1,Full-time,Associate,Bachelor's Degree,Financial Services,Finance,0
6690,6691,Market Operations Manager ,"US, TX, AUSTIN",HEADQUATERS,65000-85000,"The Accion  story began more than 100 years ago in the Austin,Tx with one family owned establishment. Today, Accion  has grown into a nationwide Organazation with over 260 stores. Accion success is attributed to our unique niche in the market offering current   finance option at competitive prices paired with customer service and a personal shopping experience. Join the Accion story today!","ExemptSHIFT WORKEDMonday-Sundays, Days, NightsSALARY$65,000 starting salary; ramping up as stores open in market.  Bi-annual performance bonus opportunity.  POSITION OVERVIEWManages the overall operation of their home store and exercises discretion while doing so.  Ensures company standards are met and ensures store Associates comply with policies and procedures.  Develops and ensures compliance with Corporate Store policies and procedures.  Upholds and executes the vision and mission of Yogurtland.  Assists the ROM by overseeing and helping Store Managers resolve operational issues for two or more stores in their area.  CULTURAL QUALIFICATIONSHumble – We are modest, respectful, open and never arrogant, despite our successes.  We grow by giving and accepting honest feedback, even when it is personally challenging.Teamwork – We work collaboratively by capitalizing on the strengths of every member of our team and collectively own both our successes and our shortcomings.Passionate – We love what we do, reach for the best, and strive to positively impact the lives of our guests, colleagues, franchisees, and vendors.Innovative – With an open mind and fresh ideas with are continuously evolving and creating new possibilities in our products, the way we do business, and our interactions with others.THTK: Totally Honest – Totally Kind - We work and live with great integrity, accountability, and compassion.  KEY METRICSSuccessful opening of new stores.Same Store Sales Increase.Food Cost.Labor Cost.Net Profit.  ESSENTIAL JOB FUNCTIONSCash Handling (bank deposits, safe deposits, etc.) is accountable for all funds.Scheduling of Associates effectively and efficiently.Controls store operational cost (food, labor, etc.).Maintain adequate inventory levels.Ensures all Associates adhere to all company standards, policies and procedures.Coordinates and communicates assignments throughout shift.Coordinates training, coaching and development of newly hired Associates.Ensures all Associates adhere to meal and break periods.Taste product to ensure quality standards are met.Is the “role-model” for outstanding customer service and Associate standards.Ensures cleanliness, health, security and safety standards are maintained at all times.Maintains building, machines and store operating equipment and schedules preventive maintenance.Conducts Associate meetings as needed.Maintains and creates reports and records based company standards and in compliance of local, state and federal regulations.Maintains a cooperative and interactive relationship with the YLSC.Provides counseling, coaching, discipline and mentoring to Associates as warranted.Other job-related activities as requested.Assists/teaches assigned Store Managers with the above. CORE COMPETENCIESAbility to exercise mature judgment and reasoning.Ability to problem solve quickly and effectively.Effective customer service skills delivered with a friendly disposition.Ability to communicate clearly and concisely.Ability to actively listen and address Associates’ concerns, comments and/or issues.Ability to lead others in always upholding company standards.Knowledge of staffing, scheduling and inventory processes.Internally motivated and ability to motivate others.Ability to act independently and effectively.Knowledge of organizational and planning skills.Knowledge of team-building, leadership, coaching and mentoring skills.                                                              ",OTHER REQUIREMENTS (LICENSES/CERTIFICATIONS)Previous management experience.4-year college degree or 8 years hospitality experience.Proficient with MS Office Word and Excel programs. afe or equivalent certification.,ALL BENEFITS,0,1,1,Full-time,Mid-Senior level,Some College Coursework Completed,Management Consulting,Finance,1
6741,6742,Customer Service Representative,"US, IL, Chicago",customer service,25000-35000,"Since 2005, Allied Secured Benefits, a leading financial planning and insurance brokerage company, has helped thousands of clients secure their financial futures.Headquartered in Denver, Colorado, Allied Secured Benefits is an independent financial agency representing more than 20 insurance and investment companies.Allied Secured Benefits operates in more than a dozen states, and is a one-stop shop for a wide range of financial products, and is an industry expert in Protection Insurance.First located in Georgia, Allied Secured Benefits relocated to Denver, Colorado in 2012, where it continued to grow its network of agents and brokers throughout the country, as well as, add dozens of products and insurance carriers to its repertoire.Heather Carr-DavisRegional Recruiting Manager","If you are passionate about helping people, you may be a good fit for our Customer Service Representative position. As a Customer Service Representative for Allied Secured Benefits, you will help manage Customer Accounts, respond to email inquiries, and help Customers sign up for the service that best suits their needs. This is a telecommute position and all Applicants must be comfortable working from their homes with little supervision.",Basic Computer SkillsHome Computer with Internet AccessA Quiet Place in the Home to work,"High hourly pay, paid weeklyPTOPaid Holidays401K",1,1,0,Full-time,Entry level,High School or equivalent,Insurance,Customer Service,0
6757,6758,Sr. Office Manager ,"US, CA, San Diego",Marketing,65000-72000,"Flippo is a brand engagement firm. We help companies connect with customers, inspire employees and excel in their industries by creating brands that are meaningful, memorable and measurable. Our creative and strategic services cover the complete range of traditional and digital design, branding and communications.","We’re looking for one more super smart executive team member! Specifically, we're seeking a native English/ASL speaker in PST timezones to work Saturday through Wednesday.You’ll be responsible for providing tremendous client service via email and phone for Flippo Interactive, Schooold and. You’ll also help us answer questions via Twitter, create and manage company schedules, purchases, travel arrangements and maybe run some remote meetings.During training, you'll be expected to be proactive in your process and learn quickly. Once fully up-to-speed (1-2 months), you'll answer about 75 emails per day. This is a significant volume, so be sure that you’re ready and able to deal with that kind of daily load -- you'll get all the love and help you need along the way!We’re looking for some great communicators who love helping our clients, so you should enjoy making complicated situations simple and painless and have a passion for our process. This means being a great problem solver with the ability to process and resolve issues quickly.",A willing and humble spirit.We are closed from Thursday - Saturday as we use those days to focus on spiritual activities.Participation is required.,Highly competitive salaryStock optionsPremium health coverage (Cal Covered)Macbook AirMembership at 24 hoursUnlimited books from AmazonUnlimited Starbucks cardNo Work Fridays!,0,1,1,Part-time,Mid-Senior level,Bachelor's Degree,Design,Marketing,0
